loc.lat,loc.lon,t,device,os
42.36882243263021,-71.09467467145836,1303692062.913461,"iPad2,1","4.3.2"
40.20218490904214,-85.40818850153258,1297563446.993427,"iPad1,1","4.3"
40.20059079841752,-85.40790054777777,1297563445.492582,"iPad1,1","4.3"
42.36910478166232,-71.09558713122078,1293973657.508856,"iPad1,1","4.3"
42.37234104892561,-71.11368269694215,1293597161.771324,"iPad1,1","4.3"
42.32727117138616,-71.05769892316835,1293547815.864107,"iPad1,1","4.3"
42.34208158494845,-71.059709614433,1293547815.287132,"iPad1,1","4.3"
42.35308911277227,-71.06456748940595,1293543497.918974,"iPad1,1","4.3"
42.34955614307692,-71.06209506307692,1293543497.457796,"iPad1,1","4.3"
42.36112435910891,-71.07019014029704,1293542824.623627,"iPad1,1","4.3"
42.37144416,-71.10148818666666,1293509640.379332,"iPad1,1","4.3"
42.36046623906248,-71.10484961552081,1293482834.508448,"iPad1,1","4.3"
42.36813505866666,-71.09012841688889,1293397764.275039,"iPad1,1","4.3"
42.11884392623853,-72.03114628889911,1293389391.953291,"iPad1,1","4.3"
41.75350090223139,-72.69856486851239,1293382563.206937,"iPad1,1","4.3"
41.77756293910892,-72.51295982564358,1293328779.075383,"iPad1,1","4.3"
41.77503751633333,-72.67816924066666,1293318413.611266,"iPad1,1","4.3"
41.71002768813727,-72.77813943019608,1293314285.694887,"iPad1,1","4.3"
41.63000628485148,-72.87650193475247,1293313903.445666,"iPad1,1","4.3"
41.53869079941176,-72.98095079127447,1293311194.940041,"iPad1,1","4.3"
41.51951049561224,-72.91213126642857,1293284429.950615,"iPad1,1","4.3"
41.44499624025643,-72.90547243038461,1293281579.834957,"iPad1,1","4.3"
41.43490862512498,-72.831473144,1293238249.901883,"iPad1,1","4.3"
41.662381899901,-72.6714864788119,1293236892.270802,"iPad1,1","4.3"
41.76700235484538,-72.61545418536079,1293236325.689379,"iPad1,1","4.3"
41.84433209191918,-72.47734849444447,1293235899.548837,"iPad1,1","4.3"
42.2794815872619,-71.51840657714285,1293232909.914931,"iPad1,1","4.3"
42.27134468114285,-71.5562583782857,1293232909.890261,"iPad1,1","4.3"
42.37703038666667,-71.11398122333334,1293154461.640398,"iPad1,1","4.3"
42.36921997428571,-71.08465427476192,1293077044.364713,"iPad1,1","4.3"
42.37191188,-71.1140747,1293029762.399484,"iPad1,1","4.3"
42.37270476242425,-71.07015065121212,1292879173.152398,"iPad1,1","4.3"
42.36801197493332,-71.05736719973331,1292878819.00829,"iPad1,1","4.3"
42.36443345952382,-71.06246057285713,1292878587.667765,"iPad1,1","4.3"
42.3525092968254,-71.05614002523811,1292872421.102573,"iPad1,1","4.3"
42.31434164000001,-71.05151399092594,1292867153.241769,"iPad1,1","4.3"
42.3702591,-71.08540087,1292856535.986288,"iPad1,1","4.3"
