lat,lon,alt,date,device,os,version
39.9511900208,-75.166186722,0.0,2010-09-14 14:28:40,"iPhone3,1",4.3.2,
39.99358797,-75.1135393264,0.0,2010-09-15 23:03:52,"iPhone3,1",4.3.2,
40.22407972,-74.79054212,0.0,2010-09-15 23:18:50,"iPhone3,1",4.3.2,
40.72141915,-73.96399945,0.0,2010-09-16 02:56:33,"iPhone3,1",4.3.2,
39.957261975,-75.203361385,0.0,2010-09-22 22:53:53,"iPhone3,1",4.3.2,
39.9907013219,-75.1481670052,0.0,2010-09-22 22:57:38,"iPhone3,1",4.3.2,
40.7122135733,-74.0061862924,0.0,2010-09-23 19:11:44,"iPhone3,1",4.3.2,
40.7059607377,-73.9971805,0.0,2010-09-24 12:09:04,"iPhone3,1",4.3.2,
40.752976025,-74.003910355,0.0,2010-09-24 13:32:36,"iPhone3,1",4.3.2,
40.774111461,-74.103060146,0.0,2010-09-24 13:38:59,"iPhone3,1",4.3.2,
40.6655822986,-73.8279979336,0.0,2010-09-25 10:32:46,"iPhone3,1",4.3.2,
34.1941401468,-118.36686161,0.0,2010-09-25 17:30:08,"iPhone3,1",4.3.2,
34.0816269173,-118.302042694,0.0,2010-09-25 19:04:05,"iPhone3,1",4.3.2,
34.0934018501,-118.283994191,0.0,2010-09-25 19:46:07,"iPhone3,1",4.3.2,
34.0767773933,-118.259982713,0.0,2010-09-25 21:59:20,"iPhone3,1",4.3.2,
34.1091545789,-118.330891182,0.0,2010-09-26 19:31:45,"iPhone3,1",4.3.2,
34.1005401332,-118.329928476,0.0,2010-09-26 19:40:20,"iPhone3,1",4.3.2,
34.0544144687,-118.307125598,0.0,2010-09-27 03:34:51,"iPhone3,1",4.3.2,
34.054790859,-118.249642808,0.0,2010-09-27 04:45:57,"iPhone3,1",4.3.2,
34.0760228485,-118.262497664,0.0,2010-09-27 16:49:02,"iPhone3,1",4.3.2,
34.169245042,-118.612052566,0.0,2010-09-27 17:17:52,"iPhone3,1",4.3.2,
34.2300001091,-118.995633693,0.0,2010-09-27 17:35:49,"iPhone3,1",4.3.2,
34.1852469659,-119.210842484,0.0,2010-09-27 17:54:17,"iPhone3,1",4.3.2,
34.43213963,-119.68716883,0.0,2010-09-27 18:14:55,"iPhone3,1",4.3.2,
34.4286346314,-119.645581432,0.0,2010-09-27 18:14:55,"iPhone3,1",4.3.2,
34.4208673212,-119.690033686,0.0,2010-09-27 18:18:47,"iPhone3,1",4.3.2,
34.4384138075,-119.714946205,0.0,2010-09-27 18:55:54,"iPhone3,1",4.3.2,
34.4238659934,-119.712484255,0.0,2010-09-27 18:55:54,"iPhone3,1",4.3.2,
34.4413538298,-119.807710904,0.0,2010-09-27 19:00:04,"iPhone3,1",4.3.2,
34.4193609576,-119.858255535,0.0,2010-09-28 00:46:41,"iPhone3,1",4.3.2,
34.2947320474,-119.302807379,0.0,2010-09-28 01:22:11,"iPhone3,1",4.3.2,
34.2268008455,-119.051410187,0.0,2010-09-28 01:39:58,"iPhone3,1",4.3.2,
34.1572136458,-118.379943786,0.0,2010-09-28 02:17:00,"iPhone3,1",4.3.2,
34.1587500979,-118.366488317,0.0,2010-09-28 02:17:39,"iPhone3,1",4.3.2,
34.1518243925,-118.34514804,0.0,2010-09-28 02:18:39,"iPhone3,1",4.3.2,
34.1614052945,-118.293064516,0.0,2010-09-28 02:23:28,"iPhone3,1",4.3.2,
34.1719265395,-118.299048086,0.0,2010-09-28 02:26:06,"iPhone3,1",4.3.2,
34.1911987578,-118.323460441,0.0,2010-09-28 02:29:55,"iPhone3,1",4.3.2,
34.1809966728,-118.351863763,0.0,2010-09-28 03:18:13,"iPhone3,1",4.3.2,
40.6482827558,-73.7761842358,0.0,2010-09-28 13:23:56,"iPhone3,1",4.3.2,
40.6538285221,-73.8002406833,0.0,2010-09-28 13:27:39,"iPhone3,1",4.3.2,
40.6690518757,-73.8047150432,0.0,2010-09-28 13:30:13,"iPhone3,1",4.3.2,
40.6722056353,-73.8893801533,0.0,2010-09-28 13:37:49,"iPhone3,1",4.3.2,
40.6774249545,-73.9037486518,0.0,2010-09-28 13:40:40,"iPhone3,1",4.3.2,
40.6765242995,-73.9219273973,0.0,2010-09-28 13:44:20,"iPhone3,1",4.3.2,
40.6811396244,-73.9386747964,0.0,2010-09-28 13:47:13,"iPhone3,1",4.3.2,
40.68266302,-73.9437410925,0.0,2010-09-28 13:51:51,"iPhone3,1",4.3.2,
40.7239303967,-74.1805150523,0.0,2010-09-28 15:10:55,"iPhone3,1",4.3.2,
40.6819300938,-74.2142787319,0.0,2010-09-28 15:11:29,"iPhone3,1",4.3.2,
40.6617543587,-74.2413136388,0.0,2010-09-28 15:14:11,"iPhone3,1",4.3.2,
40.6304847852,-74.2533285034,0.0,2010-09-28 15:14:46,"iPhone3,1",4.3.2,
40.58420534,-74.261994865,0.0,2010-09-28 15:15:44,"iPhone3,1",4.3.2,
40.574155915,-74.2992345827,0.0,2010-09-28 15:17:23,"iPhone3,1",4.3.2,
40.57853173,-74.3567626822,0.0,2010-09-28 15:18:50,"iPhone3,1",4.3.2,
40.4667804595,-74.4730480316,0.0,2010-09-28 15:24:40,"iPhone3,1",4.3.2,
40.448963147,-74.5068752203,0.0,2010-09-28 15:25:26,"iPhone3,1",4.3.2,
40.3779939711,-74.5034860189,0.0,2010-09-28 15:26:43,"iPhone3,1",4.3.2,
40.3824375825,-74.541542795,0.0,2010-09-28 15:27:52,"iPhone3,1",4.3.2,
40.3419840391,-74.582002934,0.0,2010-09-28 15:29:29,"iPhone3,1",4.3.2,
40.2800024292,-74.6681981367,0.0,2010-09-28 15:33:24,"iPhone3,1",4.3.2,
40.2467524267,-74.6871258733,0.0,2010-09-28 15:34:42,"iPhone3,1",4.3.2,
40.5457695815,-74.3312686935,0.0,2010-09-30 23:41:19,"iPhone3,1",4.3.2,
40.5665842703,-74.3243544457,0.0,2010-09-30 23:43:40,"iPhone3,1",4.3.2,
40.6145971224,-74.2604541736,0.0,2010-09-30 23:47:19,"iPhone3,1",4.3.2,
40.742072978,-74.0060713711,0.0,2010-10-01 22:54:04,"iPhone3,1",4.3.2,
40.707962882,-73.994926471,0.0,2010-10-01 22:55:47,"iPhone3,1",4.3.2,
40.70801436,-73.95379626,0.0,2010-10-03 06:10:11,"iPhone3,1",4.3.2,
40.735310725,-73.991124595,0.0,2010-10-05 23:23:38,"iPhone3,1",4.3.2,
39.94729262,-75.1597259,0.0,2010-10-06 18:58:01,"iPhone3,1",4.3.2,
39.94239777,-75.141660565,0.0,2010-10-07 12:46:49,"iPhone3,1",4.3.2,
40.7571882113,-73.9769555667,0.0,2010-10-08 17:45:53,"iPhone3,1",4.3.2,
40.7568859857,-73.9769627486,0.0,2010-10-08 17:45:54,"iPhone3,1",4.3.2,
40.7707174994,-73.9828913324,0.0,2010-10-08 23:38:06,"iPhone3,1",4.3.2,
40.7770505017,-73.9810731412,0.0,2010-10-09 03:47:55,"iPhone3,1",4.3.2,
40.6696891933,-73.9810938167,0.0,2010-10-10 22:35:36,"iPhone3,1",4.3.2,
40.6701196733,-73.9729286883,0.0,2010-10-10 22:40:51,"iPhone3,1",4.3.2,
39.9676888467,-75.1547808067,0.0,2010-10-12 00:24:25,"iPhone3,1",4.3.2,
39.9672963837,-75.1611927493,0.0,2010-10-12 01:29:45,"iPhone3,1",4.3.2,
40.713995836,-73.9952010597,0.0,2010-10-13 09:19:15,"iPhone3,1",4.3.2,
40.716147824,-73.998729895,0.0,2010-10-13 09:23:20,"iPhone3,1",4.3.2,
40.7226478339,-74.0101453718,0.0,2010-10-13 09:25:34,"iPhone3,1",4.3.2,
40.7288409773,-74.0336675015,0.0,2010-10-13 09:26:25,"iPhone3,1",4.3.2,
40.7352826919,-74.0577453214,0.0,2010-10-13 09:29:57,"iPhone3,1",4.3.2,
40.7356550568,-74.0667361007,0.0,2010-10-13 09:32:33,"iPhone3,1",4.3.2,
40.7369100074,-74.0804861489,0.0,2010-10-13 09:32:34,"iPhone3,1",4.3.2,
40.72039876,-74.0825135889,0.0,2010-10-13 09:35:50,"iPhone3,1",4.3.2,
40.7279908309,-74.1314129503,0.0,2010-10-13 09:44:57,"iPhone3,1",4.3.2,
40.7022390803,-74.181340075,0.0,2010-10-13 09:49:20,"iPhone3,1",4.3.2,
