loc.lat,loc.lon,t,device,os
40.75630238644382,-73.9905266253743,1304451093.650814,"iPhone3,1","4.3.2"
40.75805981444519,-73.98046327368434,1304451085.635168,"iPad1,1","4.3"
40.75815653160121,-73.99266117432032,1304451083.979796,"iPad1,1","4.3"
40.75630238644382,-73.9905266253743,1304451093.650814,"iPad2,1","4.3.1"
40.75630238644382,-73.9905266253743,1304451093.650814,"iPad1,1","4.3"
40.75815653160121,-73.99266117432032,1304451083.979796,"iPad2,1","4.3.1"
40.75805981444519,-73.98046327368434,1304451085.635168,"iPad2,1","4.3.1"
39.95119002081632,-75.16618672204083,1284474520.149835,"iPhone3,1","4.3.2"
39.99358797,-75.11353932636362,1284591832.288366,"iPhone3,1","4.3.2"
40.22407972,-74.79054212,1284592730.261098,"iPhone3,1","4.3.2"
40.72141915,-73.96399945,1284605793.215398,"iPhone3,1","4.3.2"
39.957261975,-75.20336138499999,1285196033.395618,"iPhone3,1","4.3.2"
39.99070132185184,-75.14816700518519,1285196258.03846,"iPhone3,1","4.3.2"
40.71221357333334,-74.00618629240741,1285269104.8808,"iPhone3,1","4.3.2"
40.70596073772727,-73.9971805,1285330144.776468,"iPhone3,1","4.3.2"
40.752976025,-74.003910355,1285335156.889884,"iPhone3,1","4.3.2"
40.774111461,-74.10306014599999,1285335539.684594,"iPhone3,1","4.3.2"
40.66558229863636,-73.8279979336364,1285410766.659983,"iPhone3,1","4.3.2"
34.1941401468421,-118.36686161,1285435808.964594,"iPhone3,1","4.3.2"
34.08162691726316,-118.3020426937895,1285441445.092025,"iPhone3,1","4.3.2"
34.09340185010102,-118.2839941907071,1285443967.609303,"iPhone3,1","4.3.2"
34.07677739333334,-118.2599827133334,1285451960.045668,"iPhone3,1","4.3.2"
34.10915457885246,-118.330891182295,1285529505.214367,"iPhone3,1","4.3.2"
34.1005401331959,-118.3299284762887,1285530020.635194,"iPhone3,1","4.3.2"
34.0544144687,-118.3071255982999,1285558491.505914,"iPhone3,1","4.3.2"
34.0547908589899,-118.2496428080809,1285562757.593034,"iPhone3,1","4.3.2"
34.07602284846155,-118.2624976640384,1285606142.91411,"iPhone3,1","4.3.2"
34.16924504196079,-118.6120525655882,1285607872.812611,"iPhone3,1","4.3.2"
34.2300001090909,-118.9956336929545,1285608949.623959,"iPhone3,1","4.3.2"
34.1852469659406,-119.2108424836634,1285610057.542429,"iPhone3,1","4.3.2"
34.43213963,-119.68716883,1285611295.153075,"iPhone3,1","4.3.2"
34.42863463141175,-119.645581432,1285611295.600597,"iPhone3,1","4.3.2"
34.42086732119046,-119.6900336861905,1285611527.049609,"iPhone3,1","4.3.2"
34.4384138075,-119.714946205,1285613754.503207,"iPhone3,1","4.3.2"
